,input
0,"As a user, I want to be able to check transaction history and keep a record of it, so that I can go back when needed.
"
1,"As a researcher, I want to have the ability to insert Greek symbols into my logbook entries.
"
2,"As a DigitalRecords Archivist, I want to have the repository to lift embargoes on the release date and set the access controls to the configuration set on item on that date.
"
3,"As an app developer, I want to ensure that application creation fails if any of its datasets cannot be created.
"
4,"As a broker team member, I want to add the 00***** and 00FORGN PPoPCode cases to the derivation logic.
"
5,"As a CONNECT administrator or security officer, I want to view audit events via the System Admninistration module so that I can monitor the audit logs and events
"
6,"As a user, I want to add donation centers as favorites on my profile, so that I can view them later.
"
7,"As a site visitor, I want to see a list of all upcoming Other Courses and can page through them if necessary, so that I can choose the best course for me.
"
8,"As a developer, I want to access an API from the website, so that I can integrate it and implement certain features in my own iOS application.	
"
9,"As a UI designer, I want to move on to round 2 of Homepage edits, so that I can get approvals from leadership.
"
10,"As an Owner, I want to design an audit from the UI SME, so that I know the potential scope of the UI improvements want ed.	
"
11,"As a researcher I want clear citation information on each document, so that I can cite accurately in a publication.
"
12,"As a dataset developer, I want to implement custom administrative operations such as ""compaction"" or ""rebalance"" that are no common to all dataset types.
"
13,"As a researcher,  I want to have the ability to bulk upload directories and files with minimal effort.
"
14,"As a Developer, I want to get a Data Package into Node, so that I can start using the data for doing analysis and visualizations.
"
15,"As a CONNECT user, I want a SONAR report generated and published nightly, in order to know the condition of software.	
"
16,"As a participant, I want to have a small thumbnail photo displayed near where my cards are played, so that the game is more personal because I see who I'm estimating with.
"
17,"As an Inspection Supervisor, I want to Manage Inspector Workload, so that I can meet service level and quality requirements.	
"
18,"As a researcher, I want the DMP to prepopulate information that I have already entered in other institutional systems, so that I do not have to re-enter information ensuring the DMP contains accurate and standardized information.
"
19,"As an archivist, I want to distinguish between digital objects digitized to preservation standards and those created for access purposes only, so that I know whether I should apply preservation actions.
"
20,"As an OlderPerson, I want to have ALFRED to initiate questions, but it should be in the domains of my interest such as cinema, exhibitions, cooking. 
"
21,"As a developer, I want to have the accounting to be as simple and clear as Possible. 
"
22,"As a VisualDesigner, I want to demonstrate the value of visual design to the NSF project team, so that visual design is an integral part of a redesign.
"
23,"As a team member, I want to know what the first hypothesis is, so that I can start developing a prototype to test.
"
24,"As a researcher, I want to link research publications in the institutional repository or CRIS with DMP records, so that I can generate reports of research output resulting from a project.
"
25,"As a Data Consuming User, I want to be able to filter, sort and aggregate data by multiple dimensions and measures, So that I can get more granular views on the data.	
"
26,"As a site visitor, I want to view a section of the website that teaches me the basics of what Scrum is, so that I can learn that quickly.
"
27,"As a user, I want to add a video to my article.
"
28,"As a researcher, I want to have information that will help me identify other faculty I might partner/collaborate with.
"
29,"As a Developer , I want to provide FABS groups that function under the FREC paradigm.
"
30,"As a Consumer, I want to view a publisher's profile, so that that I can see who is behind a particular package or to see what other packages they produce. 
"
31,"As a collection curator, I want to map an item or items from one collection to another, so that an item may administratively belong to one collection but could appear in other collections.
"
32,"As an executive, I want to have full access to data related to my company, so that I can have a sense of my company's performance.	
"
33,"As a repoadmin, I want to provide a Linked Data interface to the repository.
"
34,"As a researcher, I want to have the ability to locate experiment files using meta data, regardless of where those files are located.
"
35,"As a site visitor, I want to be able to get back to the home page quickly and easily, so that I don't get lost navigating.
"
